study_id,site_id,title,species_guess,lat,lon,online
35581,Huhe-Under Mountain,Andreev - Huhe-Under Mountain - PISY - ITRDB RUSS303,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35581
35582,Khurai Ridge,Andreev - Khurai Ridge - PISY - ITRDB RUSS304,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35582
35578,Klyuchi,Andreev - Klyuchi - PISY - ITRDB RUSS306,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35578
35575,Podlopatki,Andreev - Podlopatki - PISY - ITRDB RUSS309,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35575
35593,Shinestuy,Andreev - Shinestuy - PISY - ITRDB RUSS310,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35593
35594,Tungui Mine,Andreev - Tungui Mine - PISY - ITRDB RUSS311,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35594
35595,Zagan Mountain Ridge,Andreev - Zagan Mountain Ridge - PISY - ITRDB RUSS312,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35595
35596,Zaigraevo,Andreev - Zaigraevo - PISY - ITRDB RUSS313,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35596
29752,Ice Cut Dalton Highway,Andreu-Hayles - Ice Cut Dalton Highway - ALCR - ITRDB AK174,,,,https://www.ncei.noaa.gov/access/paleo-search/study/29752
29753,Ice Cut Dalton Highway,Andreu-Hayles - Ice Cut Dalton Highway - SASP - ITRDB AK175,,,,https://www.ncei.noaa.gov/access/paleo-search/study/29753
29754,SG Dalton Highway,Andreu-Hayles - SG Dalton Highway - SASP - ITRDB AK176,,,,https://www.ncei.noaa.gov/access/paleo-search/study/29754
38342,Barlow Wayside,Andrus - Barlow Wayside - THPL - ITRDB OR129,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38342
38340,Hobo Grove,Andrus - Hobo Grove - THPL - ITRDB ID024,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38340
38349,Icicle Creek,Andrus - Icicle Creek - THPL - ITRDB WA165,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38349
38347,Lindsay,Andrus - Lindsay - THPL - ITRDB WA163,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38347
38348,Little Mountain,Andrus - Little Mountain - THPL - ITRDB WA164,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38348
38341,McCroskey Park,Andrus - McCroskey Park - THPL - ITRDB ID025,,,,https://www.ncei.noaa.gov/access/paleo-search/study/38341
